id,date,type,category,description,amount,currency,merchantId,merchantName,mcc,isRecurring,essentiality,labelRecurring,labelEssential
txn_1,2025-11-24,income,freelance,Freelance payment,1048.2,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_2,2025-02-22,expense,mobile,Mobile expense,254.31,GBP,m_ee,EE,4814,True,essential,1,1
txn_3,2025-01-16,income,dividend,Dividend payment,2487.67,USD,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_4,2025-10-15,income,freelance,Freelance payment,1906.99,INR,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_5,2025-05-23,expense,subscriptions,Subscriptions expense,483.88,GBP,m_spotify,Spotify,4899,True,discretionary,1,0
txn_6,2025-12-24,expense,transport,Transport expense,130.76,GBP,m_nationalrail,National Rail,4112,False,essential,0,1
txn_7,2025-06-22,income,salary,Salary payment,1564.12,INR,m_employer,Employer Payroll,0,True,essential,1,1
txn_8,2025-06-26,expense,entertainment,Entertainment expense,276.74,GBP,m_cineworld,Cineworld,7832,False,discretionary,0,0
txn_9,2025-03-05,expense,groceries,Groceries expense,332.12,INR,m_mands,Marks & Spencer,5411,False,essential,0,1
txn_10,2025-11-18,expense,mobile,Mobile expense,116.99,GBP,m_ee,EE,4814,True,essential,1,1
txn_11,2025-02-05,income,bonus,Bonus payment,3943.84,USD,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_12,2025-04-30,expense,coffee,Coffee expense,273.14,INR,m_nero,Caffè Nero,5814,False,discretionary,0,0
txn_13,2025-07-06,income,freelance,Freelance payment,2746.67,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_14,2025-12-26,expense,mobile,Mobile expense,381.72,GBP,m_o2,O2,4814,True,essential,1,1
txn_15,2025-10-01,expense,utilities,Utilities expense,228.91,USD,m_britishgas,British Gas,4900,True,essential,1,1
txn_16,2025-11-24,expense,health,Health expense,195.92,USD,m_boots,Boots,5912,False,essential,0,1
txn_17,2025-01-29,expense,subscriptions,Subscriptions expense,190.64,GBP,m_disney,Disney+,4899,True,discretionary,1,0
txn_18,2025-05-18,income,freelance,Freelance payment,2690.67,GBP,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_19,2025-07-22,expense,transport,Transport expense,160.4,INR,m_bolt,Bolt,4121,False,essential,0,1
txn_20,2025-05-07,expense,entertainment,Entertainment expense,351.58,GBP,m_cineworld,Cineworld,7832,False,discretionary,0,0
txn_21,2025-10-26,expense,transport,Transport expense,306.7,USD,m_bolt,Bolt,4121,False,essential,0,1
txn_22,2025-02-16,expense,transport,Transport expense,377.21,GBP,m_tfl,Transport for London,4111,False,essential,0,1
txn_23,2025-12-15,expense,travel,Travel expense,230.21,GBP,m_ryanair,Ryanair,4511,False,discretionary,0,0
txn_24,2025-08-28,expense,health,Health expense,432.99,GBP,m_boots,Boots,5912,False,essential,0,1
txn_25,2025-12-16,expense,subscriptions,Subscriptions expense,385.3,GBP,m_netflix,Netflix,4899,True,discretionary,1,0
txn_26,2025-02-27,expense,utilities,Utilities expense,3.94,USD,m_britishgas,British Gas,4900,True,essential,1,1
txn_27,2025-05-15,expense,internet,Internet expense,547.75,USD,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_28,2025-11-17,expense,transport,Transport expense,225.6,USD,m_trainline,Trainline,4112,False,essential,0,1
txn_29,2025-03-24,expense,mobile,Mobile expense,195.85,GBP,m_vodafone,Vodafone,4814,True,essential,1,1
txn_30,2025-01-10,income,bonus,Bonus payment,1109.92,GBP,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_31,2025-05-04,expense,groceries,Groceries expense,439.68,GBP,m_mands,Marks & Spencer,5411,False,essential,0,1
txn_32,2025-02-05,expense,transport,Transport expense,396.53,USD,m_uber,Uber,4121,False,essential,0,1
txn_33,2025-10-09,income,freelance,Freelance payment,3729.87,INR,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_34,2025-12-20,income,interest,Interest payment,3981.57,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_35,2025-11-29,expense,groceries,Groceries expense,150.25,INR,m_sainsbury,Sainsbury's,5411,False,essential,0,1
txn_36,2025-02-02,expense,mobile,Mobile expense,133.69,USD,m_ee,EE,4814,True,essential,1,1
txn_37,2025-02-06,expense,dining,Dining expense,42.31,GBP,m_ubereats,Uber Eats,5814,False,discretionary,0,0
txn_38,2025-01-17,expense,internet,Internet expense,144.33,GBP,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_39,2025-12-09,expense,entertainment,Entertainment expense,561.44,USD,m_cineworld,Cineworld,7832,False,discretionary,0,0
txn_40,2025-10-20,expense,subscriptions,Subscriptions expense,284.84,USD,m_microsoft,Microsoft,5734,True,discretionary,1,0
txn_41,2025-07-28,income,interest,Interest payment,1546.33,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_42,2025-07-30,expense,health,Health expense,392.77,GBP,m_superdrug,Superdrug,5912,False,essential,0,1
txn_43,2025-11-27,income,bonus,Bonus payment,3242.25,INR,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_44,2025-02-25,expense,internet,Internet expense,270.27,USD,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_45,2025-08-05,income,freelance,Freelance payment,3523.05,INR,m_freelance_platform,Freelance Platform,0,False,discretionary,0,0
txn_46,2025-02-08,expense,rent,Rent expense,391.98,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_47,2025-10-04,expense,subscriptions,Subscriptions expense,509.52,GBP,m_youtube,YouTube Premium,4899,True,discretionary,1,0
txn_48,2025-03-27,expense,dining,Dining expense,519.06,INR,m_mcd,McDonald's,5814,False,discretionary,0,0
txn_49,2025-01-31,income,interest,Interest payment,1207.77,GBP,m_invest_platform,Investment Platform,0,False,discretionary,0,0
txn_50,2025-08-21,expense,transport,Transport expense,115.56,INR,m_tfl,Transport for London,4111,False,essential,0,1
txn_51,2025-04-22,expense,entertainment,Entertainment expense,189.54,GBP,m_ticketmaster,Ticketmaster,7922,False,discretionary,0,0
txn_52,2025-01-26,expense,rent,Rent expense,576.55,USD,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_53,2025-02-11,expense,mobile,Mobile expense,42.64,GBP,m_ee,EE,4814,True,essential,1,1
txn_54,2025-05-01,expense,mobile,Mobile expense,357.52,USD,m_ee,EE,4814,True,essential,1,1
txn_55,2025-11-14,income,bonus,Bonus payment,976.18,GBP,m_employer,Employer Payroll,0,False,discretionary,0,0
txn_56,2025-06-10,expense,transport,Transport expense,403.67,INR,m_tfl,Transport for London,4111,False,essential,0,1
txn_57,2025-06-03,expense,rent,Rent expense,276.05,GBP,m_landlord,Landlord / Letting Agent,6513,True,essential,1,1
txn_58,2025-10-16,expense,internet,Internet expense,129.47,GBP,m_virginmedia,Virgin Media,4814,True,essential,1,1
txn_59,2025-05-16,income,salary,Salary payment,3541.23,GBP,m_employer,Employer Payroll,0,True,essential,1,1
txn_60,2025-07-09,expense,internet,Internet expense,422.72,INR,m_sky,Sky,4899,True,essential,1,1
txn_61,2025-11-10,expense,health,Health expense,490.63,GBP,m_boots,Boots,5912,False,essential,0,1
txn_62,2025-06-03,expense,transport,Transport expense,160.15,GBP,m_shell,Shell,5541,False,essential,0,1
txn_63,2025-02-24,expense,coffee,Coffee expense,170.49,USD,m_starbucks,Starbucks,5814,False,discretionary,0,0
